"ca","alfa2_code","state","comments"
"Aland","AX","no","Regió autònoma de Finlàndia vinculada a Suècia i situada a la mar Bàltica."
"Anguilla","AI","no","Territori britànic al Carib."
"Antàrtida","AQ","no","Continent situat al Pol Sud."
"Antilles Neerlandeses","AN","no","Territori holandès al Carib."
"Aruba","AW","no","Territori holandès al Carib."
"Bermudes","BM","no","Territori britànic a l'oceà Atlàntic."
"Fèroe","FO","no","Territori danès situat prop de Noruega."
"Gibraltar","GI","no","Territori britànic al sud de la península Ibèrica."
"Groenlàndia","GL","no","Territori danès entre l'Àrtic i l'oceà Atlàntic."
"Guadalupe","GP","no","Territori francès situat al Carib."
"Guaiana Francesa","GF","no","Territori francès situat a la costa nord de Sud-amèrica."
"Guam","GU","no","Territori dels Estats Units a l'oceà Pacífic."
"Guernsey","GG","no","Territori britànic al canal de la Mànega prop de la costa de Normandia."
"Hong Kong, Xina","HK","no","Regió administrativa de la Xina amb un estatus especial."
"Illa Bouvet","BV","no","Territori noruec a l'Antàrtic."
"Illa Christmas","CX","no","Territori australià a l'oceà Índic."
"Illa de Man","IM","no","Territori britànic entre la Gran Bretanya i Irlanda."
"Illa Norfolk","NF","no","Territori australià situat a l'oceà Pacífic."
"Illes Caiman","KY","no","Territori britànic al Carib."
"Illes Cocos (Keeling)","CC","no","Territori australià a l'oceà Índic."
"Illes Cook","CK","no","Territori associat amb Nova Zelanda al sud de l'oceà Pacífic."
"Illes Falkland (Malvines)","FK","no","Territori britànic al sud de l'oceà Atlàntic."
"Illes Geòrgia del Sud i Sandwich del Sud","GS","no","Territori britànic a l'oceà Atlàntic."
"Illes Heard i McDonald","HM","no","Territori australià situat a l'Antàrtic."
"Illes Marianes del Nord","MP","no","Estat associat als Estats Units situat a l'oceà Pacífic."
"Illes Menors Allunyades dels Estats Units","UM","no","Denominació creada per ISO per referir-se als territoris esparsos dels Estats Units a l'oceà Pacífic."
"Illes Turks i Caicos","TC","no","Territori britànic al Carib."
"Illes Verges Britàniques","VG","no","Territori britànic al Carib."
"Illes Verges dels Estats Units","VI","no","Territori dels Estats Units al Carib."
"Jersey","JE","no","Territori britànic al canal de la Mànega prop de la costa de Normandia."
"Macao, Xina","MO","no","Regió administrativa de la Xina amb un estatus especial."
"Martinica","MQ","no","Territori francès al Carib."
"Mayotte","YT","no","Territori francès situat entre Madagascar i Moçambic."
"Montserrat","MS","no","Territori britànic al Carib."
"Niue","NU","no","Estat associat a Nova Zelanda situat a l'oceà Pacífic."
"Nova Caledònia","NC","no","Territori francès a l'oceà Pacífic"
"Pitcairn","PN","no","Territori britànic a l'oceà Pacífic"
"Polinèsia Francesa","PF","no","Territori francès a l'oceà Pacífic"
"Reunió, la","RE","no","Territori francès a l'oceà Índic."
"Sàhara Occidental","EH","no","Territori al nord de l'Àfrica controlat majoritàriament pel Marroc."
"Saint Helena","SH","no","Territori britànic al sud de l'oceà Atlàntic."
"Saint-Barthélemy","BL","no","Territori francès al Carib."
"Saint-Martin","MF","no","Territori francès al Carib."
"Saint-Pierre-et-Miquelon","PM","no","Territori francès al nord de l'oceà Atlàntic."
"Samoa Americana","AS","no","Territori dels Estats Units al sud de l'oceà Pacífic."
"Svalbard i Jan Mayen","SJ","no","Territori majoritàriament vinculat a Noruega situat a l'Àrtic."
"TAAF (Terres Australs i Antàrtiques Franceses)","TF","no","Territori francès a l'oceà Índic."
"Taiwan","TW","no","Territori amb democràcia pròpia pertanyent a la Xina."
"Territori Britànic de l'Oceà Índic","IO","no","Territori britànic situat a l'oceà Índic."
"Territoris Palestins","PS","no","Territori localitzat a Cisjordània, Gaza i Jerusalem Oriental."
"Tokelau","TK","no","Territori de Nova Zelanda al sud de l'oceà Pacífic."
"Wallis i Futuna","WF","no","Territori francès al sud de l'oceà Pacífic."
